item_id,status,created_at,product,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211344,canceled,07-01-2016,Huawei Honor 4C,16460,1,16460,100147591,Mobiles & Tablets,C-MUX-R52221,0,cod,07-01-2016,Gross,"16,460",2016,7,2016-7,Jul-16,FY17,61
211826,order_refunded,07-02-2016,Samsung Galaxy A3,25999,1,25999,100147954,Mobiles & Tablets,C-HDD-44781,0,cod,07-02-2016,Valid,"25,999",2016,7,2016-7,Jul-16,FY17,64
212479,canceled,07-04-2016,Samsung GALAXY NOTE-5,71999,1,71999,100148332,Mobiles & Tablets,R-LHW-104415,0,cod,07-04-2016,Gross,"71,999",2016,7,2016-7,Jul-16,FY17,458
212492,complete,07-04-2016,Huawei Y221,4530,1,4530,100148343,Mobiles & Tablets,C-MUX-104110,0,cod,07-04-2016,Net,"4,530",2016,7,2016-7,Jul-16,FY17,130
213058,complete,07-09-2016,Huawei Honor 4C,16460,1,16460,100148698,Mobiles & Tablets,C-MUX-R52221,0,cod,07-09-2016,Net,"16,460",2016,7,2016-7,Jul-16,FY17,61
213128,complete,07-09-2016,Huawei Y221,4530,1,4530,100148741,Mobiles & Tablets,c-mux-45349,0,cod,07-09-2016,Net,"4,530",2016,7,2016-7,Jul-16,FY17,710
213390,order_refunded,07-11-2016,Nokia 215,3915,1,3915,100148902,Mobiles & Tablets,R-RWP-103991,0,cod,07-11-2016,Valid,"3,915",2016,7,2016-7,Jul-16,FY17,66
213512,canceled,07-11-2016,iPhone SE-64GB,64499,1,64499,100148985,Mobiles & Tablets,R-LHW-104415,0,cod,07-11-2016,Gross,"64,499",2016,7,2016-7,Jul-16,FY17,838
213783,order_refunded,07-12-2016,Samsung Galaxy A5 A510F (2016),39999,1,39999,100149202,Mobiles & Tablets,R-LHW-104415,0,cod,07-12-2016,Valid,"39,999",2016,7,2016-7,Jul-16,FY17,458
213928,order_refunded,7/13/2016,iPhone SE-16GB,51999,1,51999,100149297,Mobiles & Tablets,R-LHC-104138,0,cod,7/13/2016,Valid,"51,999",2016,7,2016-7,Jul-16,FY17,972
